ModuleColor	Gene
blue	Bradi3g47490.2
blue	Bradi3g47560.1
blue	Bradi3g47740.1
blue	Bradi3g48230.1
blue	Bradi3g49020.1
blue	Bradi3g49190.1
blue	Bradi3g49220.1
blue	Bradi3g49290.1
blue	Bradi3g49290.2
blue	Bradi3g50080.1
blue	Bradi3g50430.1
blue	Bradi3g50490.1
blue	Bradi3g50715.1
blue	Bradi3g51820.1
blue	Bradi3g51980.1
blue	Bradi3g52307.1
blue	Bradi3g52367.2
blue	Bradi3g52660.1
blue	Bradi3g53350.1
blue	Bradi3g53780.1
blue	Bradi3g53830.1
blue	Bradi3g54230.1
blue	Bradi3g54330.1
blue	Bradi3g54380.1
blue	Bradi3g54550.1
blue	Bradi3g54720.1
blue	Bradi3g55090.1
blue	Bradi3g55590.1
blue	Bradi3g55590.2
blue	Bradi3g56630.2
blue	Bradi3g57460.1
blue	Bradi3g57470.1
blue	Bradi3g59237.1
blue	Bradi3g59237.3
blue	Bradi3g59400.1
blue	Bradi3g59680.1
blue	Bradi3g59760.1
blue	Bradi3g59780.1
blue	Bradi3g60360.1
blue	Bradi4g01950.1
blue	Bradi4g02040.1
blue	Bradi4g02580.1
blue	Bradi4g02640.1
blue	Bradi4g02640.2
blue	Bradi4g02747.3
blue	Bradi4g02882.2
blue	Bradi4g02925.1
blue	Bradi4g04270.1
blue	Bradi4g04580.1
